differentiated_tissues	adrenal_gland;large_intestine;small_intestine;muscle_of_trunk;muscle_of_leg;stomach;hepatocyte;thymus;fibroblast_of_lung;smooth_muscle_cell	ENCFF840ANN:ENCFF903RGX:ENCFF543DVJ:ENCFF800YES:ENCFF941JIE:ENCFF198WHL:ENCFF093BQM:ENCFF059PHA:ENCFF292NZP:ENCFF281QON	10	8	1
neural_progenitors	neural_cell;neural_progenitor_cell;neural_stem_progenitor_cell;neuroepithelial_stem_cell;radial_glial_cell;mid-neurogenesis_radial_glial_cells	ENCFF477EUQ:ENCFF112ZGF:ENCFF455CQW:ENCFF138OGZ:ENCFF593TNG:ENCFF376XBS	6	5	1
stem_cells	H1;H9;HUES48;HUES6;HUES64	ENCFF051OUV:ENCFF021HBJ:ENCFF505OUS:ENCFF086FKD:ENCFF205SDB:ENCFF180QLH	6	5	1
common	adrenal_gland;large_intestine;small_intestine;muscle_of_trunk;muscle_of_leg;stomach;hepatocyte;thymus;fibroblast_of_lung;smooth_muscle_cell;neural_cell;neural_progenitor_cell;neural_stem_progenitor_cell;neuroepithelial_stem_cell;radial_glial_cell;mid-neurogenesis_radial_glial_cells;H1;H9;HUES48;HUES6;HUES64	ENCFF840ANN:ENCFF903RGX:ENCFF543DVJ:ENCFF800YES:ENCFF941JIE:ENCFF198WHL:ENCFF093BQM:ENCFF059PHA:ENCFF292NZP:ENCFF281QON:ENCFF477EUQ:ENCFF112ZGF:ENCFF455CQW:ENCFF138OGZ:ENCFF593TNG:ENCFF376XBS:ENCFF051OUV:ENCFF021HBJ:ENCFF505OUS:ENCFF086FKD:ENCFF205SDB:ENCFF180QLH	22	22	NA
